locus	gene
36	ENSG00000164674
36	ENSG00000271913
36	ENSG00000130363
36	ENSG00000164691
36	ENSG00000224478
36	ENSG00000164694
36	ENSG00000235086
36	ENSG00000237927
36	ENSG00000220305
36	ENSG00000251988
36	ENSG00000146457
36	ENSG00000112096
36	ENSG00000120437
36	ENSG00000285427
36	ENSG00000285441
36	ENSG00000207392
36	ENSG00000120438
36	ENSG00000112110
36	ENSG00000146453
36	ENSG00000197081
36	ENSG00000175003
36	ENSG00000213071
36	ENSG00000198670
36	ENSG00000243831
36	ENSG00000224477
36	ENSG00000276960
36	ENSG00000287558
36	ENSG00000026652
37	ENSG00000112530
37	ENSG00000281692
37	ENSG00000285564
37	ENSG00000270419
37	ENSG00000235538
38	ENSG00000240093
38	ENSG00000223855
38	ENSG00000164828
38	ENSG00000273151
38	ENSG00000105963
38	ENSG00000240230
38	ENSG00000164849
38	ENSG00000146540
38	ENSG00000229043
38	ENSG00000178381
38	ENSG00000164880
38	ENSG00000198517
38	ENSG00000230487
38	ENSG00000230444
38	ENSG00000225968
38	ENSG00000106268
38	ENSG00000106263
38	ENSG00000136213
38	ENSG00000238857
38	ENSG00000106009
38	ENSG00000106012
39	ENSG00000273151
39	ENSG00000105963
39	ENSG00000240230
39	ENSG00000164849
39	ENSG00000146540
39	ENSG00000229043
39	ENSG00000178381
39	ENSG00000164880
39	ENSG00000198517
39	ENSG00000230487
39	ENSG00000230444
39	ENSG00000225968
39	ENSG00000106268
39	ENSG00000106263
39	ENSG00000106266
39	ENSG00000136213
39	ENSG00000238857
39	ENSG00000106009
39	ENSG00000106012
39	ENSG00000146535
39	ENSG00000236708
4	ENSG00000177181
4	ENSG00000200254
4	ENSG00000065978
4	ENSG00000164008
4	ENSG00000283580
4	ENSG00000177868
4	ENSG00000227533
4	ENSG00000186973
4	ENSG00000179178
4	ENSG00000117395
4	ENSG00000253313
4	ENSG00000066056
4	ENSG00000117400
4	ENSG00000066322
4	ENSG00000198198
4	ENSG00000178922
4	ENSG00000142949
4	ENSG00000126091
4	ENSG00000236200
4	ENSG00000117407
4	ENSG00000237950
4	ENSG00000117411
4	ENSG00000159214
4	ENSG00000196517
4	ENSG00000178028
4	ENSG00000117419
4	ENSG00000187147
4	ENSG00000198520
4	ENSG00000142945
4	ENSG00000142937
4	ENSG00000142959
4	ENSG00000126088
4	ENSG00000234315
4	ENSG00000117450
40	ENSG00000106268
40	ENSG00000106263
40	ENSG00000106266
40	ENSG00000230914
40	ENSG00000106009
40	ENSG00000106012
40	ENSG00000136295
40	ENSG00000174945
40	ENSG00000146535
40	ENSG00000198286
40	ENSG00000228334
40	ENSG00000146555
40	ENSG00000236708
40	ENSG00000224593
40	ENSG00000136297
