locus	gene
35	ENSG00000197261.11
35	ENSG00000124812.15
35	ENSG00000177684.4
35	ENSG00000170927.15
35	ENSG00000112118.20
35	ENSG00000170915.9
36	ENSG00000272047.2
36	ENSG00000146425.11
36	ENSG00000092820.18
36	ENSG00000130363.11
36	ENSG00000164691.17
36	ENSG00000164694.17
36	ENSG00000146457.16
36	ENSG00000112096.18
36	ENSG00000120437.9
36	ENSG00000120438.12
36	ENSG00000112110.10
36	ENSG00000146453.13
36	ENSG00000130368.5
36	ENSG00000197081.14
36	ENSG00000175003.15
36	ENSG00000146477.6
36	ENSG00000198670.11
36	ENSG00000122194.18
36	ENSG00000085511.20
36	ENSG00000026652.15
37	ENSG00000112530.11
38	ENSG00000164818.16
38	ENSG00000188191.15
38	ENSG00000164828.18
38	ENSG00000105963.15
38	ENSG00000240230.6
38	ENSG00000164849.10
38	ENSG00000164850.15
38	ENSG00000146540.15
38	ENSG00000178381.11
38	ENSG00000164853.9
38	ENSG00000164877.19
38	ENSG00000164880.16
38	ENSG00000164855.16
38	ENSG00000157778.9
38	ENSG00000225968.7
38	ENSG00000002822.15
38	ENSG00000122687.18
38	ENSG00000106268.15
38	ENSG00000106263.18
38	ENSG00000106266.11
38	ENSG00000136213.10
38	ENSG00000275572.1
38	ENSG00000106003.13
38	ENSG00000106009.16
38	ENSG00000106012.18
38	ENSG00000174945.13
39	ENSG00000164828.18
39	ENSG00000240230.6
39	ENSG00000164849.10
39	ENSG00000146540.15
39	ENSG00000178381.11
39	ENSG00000164877.19
39	ENSG00000164880.16
39	ENSG00000164855.16
39	ENSG00000157778.9
39	ENSG00000225968.7
39	ENSG00000002822.15
39	ENSG00000122687.18
39	ENSG00000106268.15
39	ENSG00000106263.18
39	ENSG00000106266.11
39	ENSG00000136213.10
39	ENSG00000275572.1
39	ENSG00000106003.13
39	ENSG00000106009.16
39	ENSG00000106012.18
39	ENSG00000136295.15
39	ENSG00000174945.13
39	ENSG00000146535.14
39	ENSG00000198286.9
4	ENSG00000127125.9
4	ENSG00000066185.13
4	ENSG00000186409.17
4	ENSG00000171960.11
4	ENSG00000117385.15
4	ENSG00000164008.16
4	ENSG00000164010.15
4	ENSG00000177868.12
4	ENSG00000164011.18
4	ENSG00000243710.7
4	ENSG00000179178.11
4	ENSG00000117395.12
4	ENSG00000253313.6
4	ENSG00000066056.14
4	ENSG00000117400.17
4	ENSG00000117399.14
4	ENSG00000066322.15
4	ENSG00000159479.17
4	ENSG00000198198.17
4	ENSG00000142949.17
4	ENSG00000066135.13
4	ENSG00000126091.20
4	ENSG00000117407.17
4	ENSG00000117408.11
4	ENSG00000117410.14
4	ENSG00000117411.16
4	ENSG00000159214.13
4	ENSG00000196517.11
4	ENSG00000171872.5
4	ENSG00000178028.14
4	ENSG00000117419.16
4	ENSG00000198520.12
4	ENSG00000173846.13
4	ENSG00000222009.8
4	ENSG00000117425.14
4	ENSG00000070785.17
4	ENSG00000162415.7
4	ENSG00000070759.17
4	ENSG00000280670.3
40	ENSG00000275572.1
40	ENSG00000106003.13
40	ENSG00000106009.16
40	ENSG00000106012.18
40	ENSG00000136295.15
40	ENSG00000174945.13
40	ENSG00000146535.14
40	ENSG00000198286.9
40	ENSG00000146555.19
41	ENSG00000135205.15
41	ENSG00000186088.16
41	ENSG00000127947.16
41	ENSG00000187257.16
41	ENSG00000135211.6
41	ENSG00000006576.16
41	ENSG00000187391.21
41	ENSG00000127955.17
42	ENSG00000164604.12
42	ENSG00000154415.8
42	ENSG00000128573.25
42	ENSG00000135272.10
43	ENSG00000164604.12
43	ENSG00000154415.8
43	ENSG00000128573.25
43	ENSG00000135272.10
44	ENSG00000147324.11
44	ENSG00000104626.14
44	ENSG00000173273.16
44	ENSG00000175806.15
44	ENSG00000184647.11
44	ENSG00000253649.5
44	ENSG00000171060.11
44	ENSG00000183638.6
44	ENSG00000171056.8
44	ENSG00000254093.9
44	ENSG00000171044.11
44	ENSG00000104643.10
44	ENSG00000177710.5
44	ENSG00000154319.16
44	ENSG00000164733.21
44	ENSG00000205884.2
44	ENSG00000205882.8
44	ENSG00000226430.6
44	ENSG00000223443.2
44	ENSG00000186523.14
45	ENSG00000147485.13
45	ENSG00000168300.14
45	ENSG00000196711.9
45	ENSG00000023287.13
45	ENSG00000183729.3
45	ENSG00000082556.12
45	ENSG00000147509.14
46	ENSG00000253250.3
46	ENSG00000155100.11
46	ENSG00000214954.8
46	ENSG00000147606.9
46	ENSG00000079102.16
46	ENSG00000205133.12
46	ENSG00000183808.11
47	ENSG00000123908.12
47	ENSG00000169398.19
47	ENSG00000105339.10
47	ENSG00000022567.9
47	ENSG00000204882.4
47	ENSG00000184489.11
47	ENSG00000226490.2
